name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
HP QY777AA,8.99,Optical,Wired,800,Both,Black
Razer Basilisk,,Optical,Wired,16000,Right,Pink
Cooler Master MM710 Glossy White,48.67,Optical,Wired,16000,Right,White
Endgame Gear XM1r,58.43,Optical,Wired,19000,Right,White / Gold
Cherry MC 1000,14.16,Optical,Wired,1200,Both,Gray
Cooler Master MM710 Matte Black,36.38,Optical,Wired,16000,Right,Black
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado,24.99,Optical,Wired,7000,Right,Black / Green
Asus ProArt Mouse MD300,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",4200,Right,Black
Cooler Master MM731,45.11,Optical,Wireless,19000,Right,White / Gray
Razer Naga Left-Handed Edition,99.99,Optical,Wired,20000,Left,Black
Dell WM126,18.99,Optical,Wireless,1000,Both,Black
Asus ROG Chakram Core,108.87,Optical,Wired,16000,Right,Black
Razer Naga V2 HyperSpeed,99.99,Optical,"Wireless, Bluetooth Wireless",30000,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,Black
Cooler Master MM712,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
Glorious MODEL O GLOSSY,49.99,Optical,Wired,12000,Right,White
Razer Orochi V2 Quartz,59.99,Optical,Wireless,18000,Right,Pink / Gray
Logitech ERGO M575,48.99,Optical,Bluetooth Wireless,2000,Right,Black / Blue
SteelSeries Rival 710,,Optical,Wired,16000,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000,Right,White
Logitech T631,199,Laser,Bluetooth Wireless,,Both,White
Razer DeathAdder V2 Pro - Genshin Impact Edition,,Optical,"Wired, Wireless, Bluetooth Wireless",20000,Right,Blue / White
Mad Catz R.A.T. 3,,Optical,Wired,3500,Right,Black
Cooler Master MM731,71.59,Optical,Wireless,19000,Right,Black
MSI CLUTCH,39.5,Optical,Wired,6400,Right,Black
Razer Pro Click,99.99,Optical,Wireless,16000,Right,White
ROCCAT KONE Pro,67.98,Optical,Wired,19000,Right,White
MSI CLUTCH GM31,64.67,Optical,"Wired, Wireless",12000,Right,Black
Razer Lancehead Tournament Edition Mercury,132.99,Optical,Wired,16000,Both,White / Gray
Xtrfy M4 RGB,58.81,Optical,Wired,16000,Right,Black
AOC GM500,14.99,Optical,Wired,5000,Both,Black
ROCCAT Kain 100 Aimo RGB,119.72,Optical,Wired,8500,Right,Black
Mad Catz ?R.A.T Pro X3 Supreme Limited Edition,,Optical,Wired,16000,Right,Black / Gold
Anker AK-98ANWVM-UBA,25,Optical,Wireless,1600,Right,Black
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000,Right,Black
Logitech MX Ergo Plus,95.49,Optical,Wireless,440,Right,Black
