name,Price,rpm,noise_level,color,size
Lian Li GALAHAD AIO 360 RGB,229.99,"[800,1900]",,Black / Silver,360
Cooler Master Hyper 212 EVO V2,89.99,"[650,1800]","[8,27]",Black / Silver,
Thermalright AXP90-X47,35.9,,,Gray,
Thermalright AXP120-X67,36.9,,,Black,
EK AIO 240 D-RGB,,"[450,2600]",,Black,240
Thermalright SI-100,26.9,,,Blue,
Gigabyte AORUS WATERFORCE 360,169.99,"[950,2150]","[16.9,31]",Black,360
Thermalright Assassin Spirit V2 Plus,,,,Gray,
Thermalright Frozen Magic Scenic V2,72.98,,,White,360
ENDORFY Fera 5 ARGB,,"[250,1800]",,Black / Silver,
Thermaltake TH120 ARGB Sync,79.98,,,White,120
Phanteks Glacier One 360MPH,169.99,"[500,2200]","[18,34.2]",White,360
EK EK-Nucleus AIO CR360 Lux D-RGB,204.99,"[550,2300]",,White,360
Lian Li Galahad II Trinity SL-INF,149.84,,,Black,240
Deepcool AK500,49.99,"[500,1850]",,Black / Silver,
NZXT Kraken X62,,"[500,1800]","[21,38]",,280
EK AIO Basic 240,,"[550,2200]",,Black,240
Deepcool LE500,,"[500,2250]",,Black,240
Corsair iCUE H115i ELITE CAPELLIX,169.99,,"[10,36]",Black,280
be quiet! Pure Rock Slim,34.99,,"[13.1,25.4]",,
ID-COOLING AURAFLOW X,59.99,"[700,1800]","[18,35.2]",Black,240
Thermalright Silver Soul 135,34.9,,,Black,
EVGA CLC 280,,"[600,2200]","[16,39.5]",,280
Thermalright Frozen Magic Scenic V2,54.9,,,White,240
be quiet! Dark Rock TF 2,85.9,,,Black,
Thermaltake TOUGHLIQUID Ultra,197.99,"[500,2500]",,Black,360
Corsair iCUE H100i ELITE LCD,279.95,"[450,2000]","[10,30.4]",Black,240
Scythe FUMA 2,159.99,"[300,1200]","[2.7,24.9]",Black / Silver,
Thermalright Frost Tower 120,34.9,,,,
Thermalright AXP120-X67,33.9,,,White,
Alphacool Eisbaer Pro Aurora,214.95,,,Black,420
Lian Li Galahad II Trinity SL-INF,147.58,,,White,240
Fractal Design Lumen S28 RGB V2,123.98,"[500,1700]","[10,35.5]",Black,280
Thermaltake Gravity i3,14.99,"[1200,3500]",,Silver / Black,
ID-COOLING ZOOMFLOW X,69.98,"[700,1500]","[18,26.4]",White,240
Deepcool CASTLE 240EX A-RGB,,"[500,1800]",,White / Black,240
Scythe Mugen 5 Black Edition Rev.C,54.99,"[300,1500]","[4,28.6]",Black,
Enermax ETS-T40F-TB,17.99,"[900,1800]","[11,21]",,
ARCTIC Freezer i35 A-RGB,41.84,"[200,1700]",,Black,
Deepcool AG620,49.99,"[300,1850]",,Black / Silver,
Cooler Master Hyper 620S,54.99,"[350,1750]",,Black / Silver,
NZXT Kraken Elite 280 RGB,239.99,"[500,1500]",,Black,280
ID-COOLING IS-55 ARGB,36.99,"[500,2000]",,Black,
Fractal Design Lumen S36 RGB V2,134.98,"[500,2000]","[10,33.2]",Black,360
Thermaltake TH360 ARGB Sync,130.94,,,White,360
Razer Hanbo Chroma,279.99,,,Black,360
ID-COOLING ZOOMFLOW X,69.98,"[700,1500]","[18,26.4]",Black,240
Corsair iCUE H100i ELITE CAPELLIX,159.99,,"[10,37]",White,240
Cooler Master MasterLiquid ML280 Mirror,167.49,"[650,1400]","[10,27]",Black,280
Deepcool AS500 Plus,69.64,"[500,1200]",,Black,
Cooler Master MasterAir MA824 Stealth,91.98,,"[0,24.6]",Black,
Alphacool Eisbaer Extreme,245.4,,,Black,280
Cooler Master Hyper 622 Halo,67.98,"[650,2050]",,Black,
Noctua NH-D14,,"[900,1200]","[12.6,19.8]",,
Enermax Liqmax III 240 ARGB,79.99,"[500,1600]","[14,27]",Black,240
Cooler Master Hyper H411R,34.79,"[600,2000]",,Black / Silver,
Cooler Master I30,13.55,,,Black / Silver,
Inter-Tech ALSEYE W90,39.99,,,White / Black,
Phanteks Glacier One 360MPH,159.99,"[500,2200]","[18,34.2]",Black,360
Cooler Master Hyper T20,21.99,,,Black / Silver,
Asus ROG STRIX LC II,139.99,"[800,2500]",,Black,360
